"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","TS","HRA","CHINDEX","AHINDEX","DISN","CHAPIS","CERR_CODE","EMS","year","county","full_address","latitude","longitude"
"20","SJV","981","SJU","P-R FARMS","17710 ROAD 24","MADERA","93637","723","MAD","0.81",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"846.0000157","2017","MADERA","17710 ROAD 24, MADERA, MADERA, CA",37.00682,-120.1019131
"10","SJV","946","SJU","POINDEXTER NUT CO","5414 E FLORAL AVE","SELMA","93662","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1561.100006","2017","FRESNO","5414 E FLORAL AVE, SELMA, FRESNO, CA",36.5763703,-119.6326712
"24","SJV","1397","SJU","PUSATERI NUT COMPANY","126 4TH ST","GUSTINE","95322","723","MER",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"25.00000037","2017","MERCED","126 4TH ST, GUSTINE, MERCED, CA",37.2597713,-120.9995022
"39","SJV","5000","SJU","RDJ FARMS DBA DANAMARK","7367 E MARIPOSA RD","STOCKTON","95215","723","SJ","0.6",NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"949.9999881","2017","SAN JOAQUIN","7367 E MARIPOSA RD, STOCKTON, SAN JOAQUIN, CA",37.9127404,-121.1867358
"39","SJV","8844","SJU","RIVERMAID TRADING, CO.","6011 EAST PINE","LODI","95241","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"7413.999796","2017","SAN JOAQUIN","6011 EAST PINE, LODI, SAN JOAQUIN, CA",38.1340893,-121.2428789
"47","NEP","29","SIS","ROSEBURG FOREST PRODUCTS","MILL ST","WEED","96094","2436","SIS",NA,"1.72","0.12","0.14","SISKIYOU COUNTY APCD","Y",NA,"29.2","2017","SISKIYOU","MILL ST, WEED, SISKIYOU, CA",41.4335195,-122.3773579
"10","SJV","1076","SJU","SAN JOAQUIN FIGS","3564 N HAZEL AVE","FRESNO","93722","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"53.50000039","2017","FRESNO","3564 N HAZEL AVE, FRESNO, FRESNO, CA",36.7892724,-119.849827
"12","NC","95","NCU","SCHMIDBAUER LUMBER","1099 WEST WATERFRONT DRIVE","EUREKA","95501","2421","HUM","66.88",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","0.5663531","2017","HUMBOLDT","1099 WEST WATERFRONT DRIVE, EUREKA, HUMBOLDT, CA",40.7963233,-124.1830712
"7","SF","11","BA","SHELL MARTINEZ REFINERY","3485 PACHECO BLVD","MARTINEZ","94553","2911","CC",NA,"9","0.02",NA,"BAY AREA AQMD",NA,NA,"15.82073893","2017","CONTRA COSTA","3485 PACHECO BLVD, MARTINEZ, CONTRA COSTA, CA",38.0033096,-122.083362
"58","SV","34016","FR","SHOEI FOODS (U.S.A.) INC","1900 FEATHER RIVER BLVD","OLIVEHURST",NA,"723","YUB","0.49",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"13033","2017","YUBA","1900 FEATHER RIVER BLVD, OLIVEHURST, YUBA, CA",39.1097056,-121.5809304
